시설명,주소,운영기간,전화번호,참여방법
수락산 유아숲체험원,서울특별시 노원구 상계동 산1-2,2025-03~2025-11,02-3299-4561,전화/방문/공문
장수산 유아숲체험원,인천광역시 부평구 청천동 산4-6,2025-03~2025-11,02-3299-4561,전화
청량산 유아숲체험원,인천광역시 연수구 청학동 산55-4,2025-03~2025-11,02-3299-4561,전화/방문/공문
고양동 유아숲체험원,경기도 고양시 덕양구 벽제동 산54,2025-03~2025-11,02-3299-4561,전화/방문/공문
오금동 유아숲체험원,경기도 고양시 덕양구 오금동 산91-1,2025-03~2025-11,02-3299-4561,전화/방문/공문
선바위 유아숲체험원,경기도 과천시 과천동 산83,2025-03~2025-11,031-240-8921,전화/방문/공문
가현산 유아숲체험원,경기도 김포시 양촌읍 구래리 산99,2025-03~2025-11,02-3299-4561,전화
배양리 유아숲체험원,경기도 남양주시 진건읍 배양리 산82-1,2025-03~2025-11,02-3299-4561,전화/방문/공문
청사 유아숲체험원,경기도 수원시 권선구 오목천동 350-5,2025-03~2025-11,031-240-8921,전화/방문/공문
회정동 유아숲체험원,경기도 양주시 회정동 산25-2,2025-03~2025-11,02-3299-4561,전화/방문
잣나무 유아숲체험원,경기도 용인시 포곡읍 금어리 산92-1,2025-03~2025-11,031-240-8921,전화/방문/공문
천보산 유아숲체험원,경기도 의정부시 금오동 산31-1,2025-03~2025-11,02-3299-4561,전화/방문/공문
배꼽 유아숲체험원,강원특별자치도 양구군 양구읍 상리 산27,2025-03~2025-11,033-480-8542,전화/방문/공문
푸르미 유아숲체험원,강원특별자치도 양구군 양구읍 학조리 503-1,2025-03~2025-11,033-480-8542,전화/방문/공문
매지 유아숲체험원,강원특별자치도 원주시 흥업면 매지리 산 96,2025-03~2025-11,033-738-6291,전화/방문/공문
송송 유아숲체험원,강원특별자치도 인제군 상남면 하남리 산1,2025-03~2025-11,033-460-8035,전화/방문/공문
갯골 유아숲체험원,강원특별자치도 인제군 인제읍 남북리 산15-1,2025-03~2025-11,033-460-8035,전화/방문/공문
자작나무 유아숲체험원,강원특별자치도 인제군 인제읍 원대리 산75,2025-03~2025-11,033-460-8035,전화/방문/공문
숲속다람쥐 유아숲체험원,강원특별자치도 춘천시 남산면 강촌리 산136-1,2025-03~2025-11,033-240-9942,전화/방문/공문
검봉 유아숲체험원,강원특별자치도 춘천시 남산면 백양리 산97, 25년 미운영,033-240-9942,전화/방문/공문
두드림 유아숲체험원,강원특별자치도 춘천시 신북읍 유포리 산52-11,2025-03~2025-11,033-240-9942,전화/방문/공문
삼마치 유아숲체험원,강원특별자치도 홍천군 홍천읍 삼마치리 산47-9,2025-03~2025-11,033-439-5547,전화/방문/공문
가리산 유아숲체험원,강원특별자치도 홍천군 화촌면 풍천리 산77,2025-03~2025-11,033-439-5547,전화/방문/공문
